,,工業及服務業,工業,礦業及土石採取業,石油及天然氣礦業,砂﹑石採取及其他礦業,製造業,食品及飼品製造業,飲料及菸草製造業,紡織業,成衣及服飾品製造業,皮革﹑毛皮及其製品製造業,木竹製品製造業,紙漿﹑紙及紙製品製造業,印刷及資料儲存媒體複製業,石油及煤製品製造業,化學材料及肥料製造業,其他化學製品製造業,藥品及醫用化學製品製造業,橡膠製品製造業,塑膠製品製造業,非金屬礦物製品製造業,基本金屬製造業,金屬製品製造業,電子零組件製造業,電腦﹑電子產品及光學製品製造業,電力設備及配備製造業,機械設備製造業,汽車及其零件製造業,其他運輸工具及其零件製造業,家具製造業,其他製造業,產業用機械設備維修及安裝業,電力及燃氣供應業,電力供應業,氣體燃料供應業,用水供應及污染整治業,用水供應業,廢水及污水處理業,廢棄物清除業,廢棄物處理業,資源物回收處理及污染整治業,營建工程業,建築工程業,土木工程業,機電﹑管道及其他建築設備安裝業,其他專門營造業,服務業,批發及零售業,批發業,零售業,運輸及倉儲業,鐵路及捷運運輸業,公共汽車客運業,其他汽車客運業,汽車貨運業,海洋水運業,航空運輸業,港埠業,其他運輸輔助業,倉儲業,郵政業,遞送服務業,住宿及餐飲業,住宿業,餐飲業,餐館,其他餐飲業,出版影音及資通訊業,出版業,影片及電視節目業;聲音錄製及音樂發行業,廣播﹑電視節目編排及傳播業,電信業,電腦程式設計﹑諮詢及相關服務業,資訊服務業,金融及保險業,銀行業,信用合作社,農會及漁會信用部,其他金融服務業,人身保險業,財產保險業,其他保險輔助業,證券期貨及金融輔助業,不動產業,不動產開發業,不動產經營及相關服務業,專業﹑科學及技術服務業,法律服務業,會計服務業,企業總管理機構及管理顧問業,建築﹑工程服務及技術檢測﹑分析服務業,研究發展服務業,廣告業及市場研究業,專門設計業,其他專業﹑科學及技術服務業,支援服務業,租賃業,人力仲介業,人力供應業,旅行及其他相關服務業,保全及偵探業,建築物及綠化服務業,行政支援服務業,教育業（不含小學以上各級公私立學校等）,學前教育,教育輔助及其他教育業,醫療保健及社會工作服務業,醫療保健業,社會工作服務業,藝術﹑娛樂及休閒服務業,創作及藝術表演業,運動﹑娛樂及休閒服務業,其他服務業,個人及家庭用品維修業,美髮及美容美體業,其他個人服務業
,,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計,總計
,,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值,統計值
每人每月總薪資(新臺幣元),103年,"47,744","47,269","54,093","92,569","33,232","47,455","37,612","55,194","37,722","31,566","39,147","31,537","36,029","35,628","82,720","65,663","50,939","43,165","40,487","38,654","41,774","54,371","35,244","60,103","67,638","41,095","38,302","48,529","46,223","32,485","38,212","43,069","94,111","99,248","69,299","44,919","88,260","34,876","29,707","39,764","32,954","43,251","46,451","40,883","41,082","44,650","48,116","43,119","46,652","36,857","50,142","61,955","47,041","29,269","34,046","77,185","82,987","93,642","43,121","45,041","79,276","50,930","31,225","35,948","30,188","28,729","36,415","66,613","54,906","39,876","49,731","95,388","63,396","67,095","83,071","94,872","69,911","58,708","91,441","73,716","60,708","94,819","77,196","44,786","52,827","39,992","55,169","60,246","57,393","55,595","57,774",-,"49,378","60,610","45,110","34,177","41,225","37,284","34,669","39,269","31,415","29,604","47,221","24,226",-,"24,226","63,750","63,750",-,"35,829","39,266","35,217","34,556","42,321","26,438","34,170"
,104年,"48,956","48,928","57,198","99,454","33,660","49,374","37,958","56,302","38,214","32,324","40,267","33,258","36,214","36,907","86,646","66,973","52,928","45,793","41,180","38,747","41,918","54,965","35,612","64,278","73,001","42,041","39,196","49,029","47,123","32,297","40,311","45,740","96,595","102,757","66,501","44,357","87,427","34,902","29,594","39,222","33,053","43,346","47,003","41,253","42,305","43,429","48,977","43,747","47,096","37,838","51,369","62,588","48,436","30,713","33,469","82,016","89,683","93,450","44,178","48,258","79,144","54,805","31,986","35,807","31,122","29,806","36,833","66,879","56,650","39,200","50,859","93,666","64,082","67,350","84,718","97,948","72,876","60,854","99,323","72,712","61,739","99,889","75,895","44,075","51,799","39,379","55,735","61,736","58,833","55,727","56,970",-,"49,880","62,588","47,388","34,881","41,196","36,241","36,006","40,838","32,231","29,682","46,450","24,304",-,"24,304","67,676","67,676",-,"36,184","37,987","35,863","33,996","40,053","27,215","34,632"
,105年,"49,257","49,332","55,425","92,249","34,285","49,969","38,437","57,761","38,267","33,031","41,471","34,425","37,153","37,442","84,151","70,475","52,279","47,236","40,518","39,728","43,563","53,542","35,948","65,362","74,080","41,511","40,093","48,810","48,006","32,635","40,604","48,188","94,453","100,640","64,368","43,216","82,254","35,430","29,981","39,541","33,279","42,839","47,447","39,556","42,865","42,255","49,200","43,614","46,990","37,790","52,275","64,937","49,920","30,662","34,785","78,161","93,231","90,354","44,124","48,282","76,860","55,850","31,870","35,541","31,021","29,571","37,365","68,127","55,940","40,106","49,655","97,573","65,587","65,325","85,417","98,055","72,058","62,334","94,110","76,378","63,095","101,504","75,043","42,897","50,040","38,368","55,844","58,488","58,383","57,858","56,960",-,"47,381","61,936","48,155","35,189","39,620","36,722","36,259","41,237","32,301","30,838","45,436","24,876",-,"24,876","69,903","69,903",-,"36,821","39,604","36,319","33,611","38,662","27,573","34,999"
,106年,"50,634","50,899","55,339","89,599","34,467","51,853","39,800","57,401","39,586","34,186","43,026","35,164","37,105","37,855","91,168","72,211","52,304","49,923","40,427","39,920","44,223","56,086","36,623","69,496","78,751","42,954","40,790","48,226","48,216","31,817","41,468","51,060","94,764","100,343","67,655","44,170","83,834","35,437","30,242","42,217","34,981","42,506","46,482","39,082","43,196","41,791","50,434","45,568","49,337","39,162","53,204","64,592","49,368","29,472","36,322","84,333","92,301","90,828","46,179","47,895","75,718","58,472","32,896","37,017","31,959","30,346","39,183","69,466","57,289","41,449","49,579","96,813","68,266","68,506","86,395","97,792","74,435","61,850","104,588","74,298","62,029","99,977","79,629","44,840","54,001","39,172","56,874","63,610","59,747","60,229","56,982",-,"46,226","62,829","48,252","35,669","40,220","38,133","36,160","42,210","33,901","31,103","44,229","25,287",-,"25,287","70,612","70,612",-,"37,522","40,809","36,914","33,987","39,008","28,029","35,436"
,107年,"52,468","53,380","56,967","90,387","35,262","54,567","41,642","60,398","40,749","37,737","44,552","35,458","39,629","38,867","88,633","75,637","54,912","51,590","41,351","40,951","46,173","57,928","37,506","76,068","82,107","45,004","43,110","47,992","49,156","32,092","41,528","53,030","96,230","101,642","69,449","45,074","81,737","35,603","30,417","47,745","36,023","43,645","50,076","42,090","43,611","41,472","51,785","47,132","50,177","42,046","54,813","68,251","52,057","30,244","37,456","90,343","96,020","91,276","46,590","49,676","77,178","56,008","33,558","36,629","32,894","31,125","40,845","69,835","58,641","42,064","49,827","94,417","70,206","71,117","89,238","99,565","76,752","62,062","108,785","75,276","65,176","110,808","88,355","47,552","55,563","42,957","57,945","60,892","62,707","60,879","58,317",-,"47,260","64,237","49,930","36,446","39,662","38,168","37,267","43,457","34,593","31,687","45,432","26,032",-,"26,032","71,569","71,569",-,"38,799","43,616","37,823","35,116","40,514","29,072","36,141"
,108年,"53,551","54,597","58,510","91,103","35,757","55,816","43,184","61,214","41,487","36,767","45,897","35,512","39,443","38,882","91,261","76,577","55,769","51,454","43,109","41,464","46,866","58,658","38,342","78,934","84,258","46,271","43,542","48,297","49,690","33,119","43,077","53,426","96,389","101,299","71,654","45,403","82,766","36,741","32,041","45,426","37,183","44,833","52,198","41,708","46,354","41,635","52,807","48,594","52,070","42,898","55,348","67,464","53,147","29,954","37,563","89,715","97,285","89,607","46,931","51,385","77,453","57,770","34,112","36,618","33,573","31,776","41,703","71,863","59,988","41,957","49,771","94,808","75,071","73,204","93,081","104,911","77,629","63,773","117,598","79,657","63,874","113,349","85,055","50,267","57,920","45,787","62,377","71,720","65,090","61,362","60,067","82,863","49,960","65,346","54,692","36,994","40,384","38,007","38,024","43,564","35,142","32,421","45,950","30,521","34,163","26,971","65,828","72,690","30,905","39,608","43,885","38,706","35,844","41,356","29,623","36,952"
,109年,"54,278","55,282","58,585","88,610","37,004","56,538","43,213","59,518","39,804","38,022","47,217","36,168","40,536","39,181","89,133","76,525","57,836","51,852","42,684","42,366","46,843","55,657","38,400","83,481","81,296","47,402","42,343","46,966","49,611","33,480","43,267","57,713","94,761","99,719","69,229","44,913","80,695","37,155","32,660","44,318","38,326","45,622","53,407","42,492","46,304","42,878","53,569","49,087","52,304","43,855","54,834","69,193","51,383","29,162","37,538","99,907","81,295","91,719","46,942","56,210","76,926","61,284","34,496","37,317","33,916","32,550","39,634","73,631","61,199","44,052","50,808","94,910","76,695","78,000","94,557","106,417","76,055","65,993","111,341","80,285","65,868","117,915","94,068","53,937","62,702","49,059","62,949","62,478","63,260","62,671","64,099","83,915","49,493","64,431","52,747","37,240","44,359","38,440","38,186","41,698","36,207","32,777","44,946","31,068","35,000","27,079","65,278","72,407","32,033","40,685","43,075","40,148","36,564","42,653","30,546","36,353"
,110年,"56,127","58,900","58,076","87,075","36,043","60,545","43,685","58,556","40,622","38,916","45,444","37,003","41,824","39,360","86,751","76,989","57,889","56,039","44,493","43,784","49,398","60,796","39,862","94,860","86,004","49,881","43,858","48,104","51,301","33,725","44,040","61,523","94,111","98,967","69,190","44,532","79,752","38,030","33,775","42,314","38,398","47,468","57,914","46,681","46,901","43,105","54,164","48,507","51,685","43,368","57,271","68,931","50,222","29,234","39,454","150,180","83,448","91,118","47,678","56,004","78,019","67,003","34,884","37,103","34,437","33,050","40,243","75,186","61,397","45,152","51,370","94,560","77,286","86,675","99,209","107,459","77,653","66,628","122,124","80,051","68,173","129,687","114,359","57,014","65,632","52,271","63,507","63,390","63,070","63,435","63,837","85,388","49,654","65,190","53,077","37,466","46,419","37,799","38,520","39,429","36,723","33,452","44,505","31,535","36,045","26,763","64,522","71,799","33,059","38,737","41,048","38,199","36,402","41,089","29,891","38,048"
